,Label,according,america,american,area,atomic,build,building,built,carbon,change,climate,company,construction,cost,country,current,demand,electric,electricity,emission,europe,european,existing,facility,financial,free,fuel,future,generation,global,government,green,grid,group,having,high,home,industry,infrastructure,international,investment,issue,just,level,like,long,major,make,market,meet,million,natural,need,nuclear,open,people,plan,plant,power,price,produce,production,project,reactor,region,renewables,report,risk,russia,russian,said,site,solar,source,state,supply,support,technology,term,time,transition,united,utility,wind,work,world,year,zero
90,safe,0.0,0.1177664512197879,0.0,0.1719307568367541,0.0,0.0,0.0,0.0,0.17991479027670232,0.0,0.0,0.07135496006682232,0.0,0.07889306083697462,0.1347258866936964,0.0,0.09668345258541367,0.09916401614825908,0.0,0.19832803229651816,0.1123626538781411,0.0,0.1017864013078856,0.0,0.1060244199578661,0.09668345258541367,0.2204677904859834,0.0,0.0,0.1663679324727135,0.21616626071390635,0.0,0.0,0.0,0.0,0.08693129304285448,0.0,0.0,0.0,0.0,0.2120488399157322,0.0,0.0,0.0,0.07066503353136108,0.0,0.09101213699294892,0.07066503353136108,0.10045647485605297,0.11069413363838548,0.0,0.2120488399157322,0.0,0.1018705748906691,0.11069413363838548,0.07348926349532779,0.0,0.0,0.10832861123393235,0.0,0.0,0.0,0.0,0.07728309740162702,0.0,0.3422824554651365,0.0,0.0,0.0,0.0,0.0,0.0,0.10456781348990588,0.15778612167394923,0.0,0.09668345258541367,0.0,0.07348926349532779,0.0,0.12738128789754494,0.0,0.0,0.0,0.0,0.0,0.2968933886258209,0.1163126446738806,0.0
91,safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3607028055611225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31921959841823805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3766524789712189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31921959841823805,0.0,0.0,0.0,0.0,0.0,0.34951168302386953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,safe,0.0,0.17083811670502635,0.0,0.0,0.0,0.12753837996363215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09772017631409491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660733378260877,0.0,0.0,0.0,0.20905465290569022,0.0,0.0,0.0,0.0,0.0,0.0,0.10555920475844911,0.0,0.0,0.0,0.13519679820891561,0.0,0.0,0.0,0.11326837010303759,0.0,0.10251035944748585,0.0,0.0,0.4775144191599428,0.0,0.09772017631409491,0.3694468369752493,0.0,0.3198220013478263,0.10767223358108269,0.09772017631409491,0.23572064544006166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303382977741904,0.11444636222696299,0.0,0.0,0.0,0.10660733378260877,0.0,0.0,0.0,0.0,0.0,0.2840578533988747,0.0,0.0,0.25309372439161876,0.0
93,safe,0.0,0.0,0.0,0.10263448777120587,0.0,0.20993142063383474,0.10740057615197947,0.0,0.0,0.0,0.0,0.08519103749827266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1003984441583553,0.0,0.0,0.25808196101706377,0.0,0.0,0.0,0.0,0.0,0.11126868602704829,0.26062970796208285,0.13023612690039035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29475033441689985,0.0,0.1608498982349981,0.6081189000284214,0.0,0.08773919285061577,0.17723123788259107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3098535683562777,0.0,0.0,0.0,0.0,0.0,0.09419081305381101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,safe,0.0,0.0,0.0,0.3150013229270002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08715488037932936,0.0,0.0,0.0,0.0,0.0,0.12112161449241621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118091786987914,0.0,0.0,0.0,0.0,0.08801044139946847,0.0,0.0,0.0,0.13935768648304428,0.0,0.0,0.0,0.0,0.20768994819064382,0.0,0.0,0.19474368928169442,0.3499085057066166,0.17262437085409324,0.0,0.0,0.0,0.0,0.4056144366241234,0.0,0.0,0.1645578461229893,0.0,0.0,0.08976177637969696,0.0906584060409576,0.24683676918448394,0.13231549908949036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22232937711013553,0.08801044139946847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438431324065883,0.0,0.0,0.0906584060409576,0.07103370686257993,0.0
95,safe,0.0,0.0,0.05412696442132515,0.0,0.2165078576853006,0.0,0.0,0.0,0.21993580716729838,0.04023948165857035,0.03981215577076726,0.10467295577123506,0.04977128182930331,0.0,0.13175591218814925,0.0,0.14182816088476566,0.0969779878573666,0.04067510565292198,0.0484889939286833,0.0,0.05333972818106178,0.0,0.0,0.0,0.047276053628255224,0.14373844827424997,0.0,0.2033755282646099,0.2033755282646099,0.03523349467032383,0.16001918454318534,0.0,0.0,0.0,0.08501492989685779,0.0,0.3202318306633859,0.0,0.20786291280602176,0.05184357850072204,0.045571391049474406,0.0,0.0,0.0,0.038179877451873886,0.08900581338879283,0.069107253113861,0.0,0.0,0.0,0.05184357850072204,0.0,0.4234057471008422,0.0,0.0,0.0,0.03293897804703731,0.13242569170886329,0.0,0.04669332136383501,0.043987161433459675,0.0,0.22673827379649475,0.0,0.0,0.0,0.0,0.35602325355517134,0.167368492620649,0.06345207549321846,0.045030788244943824,0.0,0.07715389707935834,0.0,0.047276053628255224,0.0,0.14373844827424997,0.08900581338879283,0.0,0.0,0.0,0.0,0.0,0.0,0.14517425047630425,0.0853114366554411,0.0
96,safe,0.06141158300006121,0.0,0.0,0.11329236624395823,0.07294099415339016,0.0,0.2963834494733023,0.0,0.0,0.0,0.0,0.047018767426755814,0.0,0.0,0.0,0.0,0.0,0.06534331752146816,0.0,0.0,0.0,0.0,0.0,0.11719459197178352,0.0,0.0,0.24212574608790424,0.0,0.05481339430979442,0.0,0.0,0.0,0.0,0.0,0.07518140833144966,0.0572826646649563,0.0,0.0,0.0,0.11204565169900572,0.0,0.06141158300006121,0.0,0.12584697172709003,0.046564145978127434,0.1543525439363318,0.0,0.046564145978127434,0.0,0.0,0.0,0.0,0.08877652130814892,0.26850712908695984,0.0,0.0,0.14672660292920864,0.1331647819622234,0.03569112625458542,0.0,0.0,0.0,0.15277519513752735,0.5092506504584245,0.0,0.0,0.05997170341453568,0.04748032992847957,0.0,0.0,0.2565222814757293,0.3034153584274275,0.0,0.0,0.04611625991030537,0.0,0.0,0.0,0.17991511024360704,0.08393685799230263,0.0,0.0,0.0,0.0,0.054226351464055966,0.0,0.15328653210906712,0.0
97,safe,0.0,0.0,0.0,0.0,0.08702080951217983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06990834428708025,0.0,0.0,0.05777266590033349,0.0,0.06539403527895193,0.0,0.0,0.0,0.08833249584259834,0.07600648773222439,0.0,0.0,0.0,0.0,0.0,0.06683692364175195,0.0,0.1465317474245411,0.0,0.0,0.0,0.0,0.0,0.05555243281629486,0.0,0.0,0.0,0.0,0.05295653589300126,0.3203371163793306,0.0,0.0,0.058349756594675596,0.37069575125100884,0.08516118364232861,0.0,0.0,0.0,0.0,0.3037757050192093,0.0,0.0,0.0,0.0,0.2861922154766625,0.35877476523066637,0.35704530298124976,0.14479347541251333,0.0,0.0,0.055018091207114976,0.0,0.0,0.0,0.0,0.10013920724796661,0.0,0.0,0.0,0.0,0.06469367542990646,0.17504926978402677,0.13715659759923005,0.0
98,safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103830625932277,0.0,0.0,0.0,0.0,0.0,0.13634472757927352,0.0,0.0,0.1003555522936756,0.08418348911108117,0.0,0.0,0.0,0.0,0.0,0.0,0.09784518274615008,0.07437229664743213,0.0,0.08418348911108117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07364109214260375,0.0,0.08604095785819452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07151413126802195,0.0,0.0,0.0,0.0,0.0,0.3608312138770094,0.0,0.0,0.07511520091960344,0.47720654652745725,0.21926053485640334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45963395969477855,0.0,0.0,0.15968205000079827,0.3541312951777263,0.0,0.07984102500039914,0.0,0.0,0.0,0.0,0.190927216168273,0.238363021444357,0.0,0.0,0.07511520091960344,0.0,0.0
99,safe,0.0,0.044550712435024405,0.0,0.16260228671311347,0.08375054975146011,0.0,0.17015312938032856,0.0,0.0,0.0,0.0,0.05398675554580197,0.0770110103088792,0.0,0.10193283695783185,0.07136965668576309,0.0,0.03751346433185968,0.0,0.0,0.0,0.0,0.0,0.0336405872289538,0.0,0.03657507421463624,0.08340233600820178,0.0,0.0,0.34615082756402354,0.1635501591407655,0.0,0.0,0.0,0.0,0.13154344035481322,0.0,0.16516470212031423,0.041266230302371774,0.06432517842654195,0.0,0.10576879086429684,0.03015774877315984,0.325118195540434,0.0,0.059075652222943004,0.0,0.0,0.0,0.041875274875730055,0.09339371087910038,0.0,0.0,0.5395228689284933,0.0,0.027800778669400596,0.02807848042360479,0.3057985108734956,0.14343141575154686,0.0,0.0,0.0,0.0,0.08770792562991016,0.0,0.0,0.1721481585491057,0.0,0.0,0.08632298410420368,0.024544819122234517,0.1393521070902613,0.0,0.08953505934998503,0.07942575018611366,0.0,0.0,0.027800778669400596,0.03442963170982114,0.0481879777130708,0.0,0.035684828342881544,0.0,0.03703792802730907,0.06226247391940025,0.0,0.022000370783664003,0.0
