	GEOID	StateName	CountyName	TractName	ALAND	AWATER	N_Adders	IRA_ec	Brownfield	IRA_LIC_C1	IRA_LIC_TL	HUD_Count	IRA_LIC_AS	IRA_CEJST	Com_npv_map	NPV_com_na	NPV_com_st	NPV_com_m	PB_com_na	PB_com_m	Res_npv_map	NPV_res_na	NPV_res_st	NPV_res_m	PB_res_na	PB_res_m	Total_Pop	P_Hispanic	P_nh_Black	P_nh_White	P_nh_Asian	P_nh_Native	P_nh_Other	Median_inc	P_Poverty	P_OwnerOcc	SVI	GOV1_count	GOV1_kW_ca	GOV1_kWh_p	GOV2_count	GOV2_kW_ca	GOV2_kWh_p	EDU1_count	EDU1_kW_ca	EDU1_kWh_p	EDU2_count	EDU2_kW_ca	EDU2_kWh_p
97	9110466201	 Connecticut	 Capitol Planning Region	Census Tract 4662.01	8429884	119753	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2570	6.96	18.09	62.53	10.04	0	2.37	112222	18.2	52.2	57	13	148	182672	0	0	0	1	150	184757	0	0	0
98	9110466400	 Connecticut	 Capitol Planning Region	Census Tract 4664	15830305	430939	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2486	5.71	0	84.55	5.91	0.88	2.94	111833	8.8	73.5	1.9	29	165	203422	0	0	0	2	252	309420	0	0	0
99	9110492100	 Connecticut	 Capitol Planning Region	Census Tract 4921	8886578	1866392	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	3810	11.44	1.81	81.89	0.71	0	4.15	137315	1.4	85	3.4	2	65	79777	0	0	0	4	747	917003	0	0	0
100	9170140200	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1402	2025494	1619895	1	0	1	100	0	2	80	80.22	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	408	29.9	19.85	49.02	0	0	1.23	21797	30.1	13.1	68.9	16	1621	1988975	1	193	237418	2	1503	1844064	1	788	966562
101	9170140300	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1403	719325	0	1	0	1	100	0	3	100	97.86	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	2675	46.69	17.46	21.12	12.11	0	2.62	48836	32.9	18	98	14	3067	3761565	2	27	34216	4	3418	4192705	1	510	626138
102	9170140400	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1404	886631	472133	1	0	1	100	0	1	0	100	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	3584	45.37	14.4	28.01	5.33	0	6.89	76350	14.6	44.2	90	12	751	921737	1	75	92813	2	616	755769	0	0	0
103	9170140500	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1405	1016311	56739	1	0	1	100	0	1	100	100	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	3838	55.76	24.44	16.34	0.81	0.55	2.11	45285	31.9	29.6	93.4	14	483	592903	0	0	0	5	1431	1756155	0	0	0
104	9170140600	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1406	742654	0	1	0	1	100	0	5	100	100	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	5313	47.69	33.56	12.54	0.96	0	5.25	37485	39.8	18.2	99.5	27	338	414964	1	14	17709	3	51	62705	0	0	0
105	9170140700	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1407	550604	0	1	0	1	100	0	5	100	100	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	3894	27.91	41.11	26.76	3.34	0	0.87	35207	34.4	2.8	87.4	8	402	493846	1	557	683472	5	894	1096978	0	0	0
106	9110492600	 Connecticut	 Capitol Planning Region	Census Tract 4926	8592444	166515	0	0	1	0	0	2	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	6851	11.18	3.61	82.48	1.75	0	0.98	117782	1.8	75.2	20.9	2	507	621858	0	0	0	5	1314	1612544	0	0	0
107	9110471200	 Connecticut	 Capitol Planning Region	Census Tract 4712	5811118	0	1	0	1	100	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2841	4.89	75.99	12.92	3.98	0	2.22	48057	8.3	51	78.9	11	1562	1916066	2	79	97486	5	1799	2207262	0	0	0
108	9110511300	 Connecticut	 Capitol Planning Region	Census Tract 5113	1752636	41808	1	0	1	100	0	1	0	0.01	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	3987	42.34	33.53	16.25	4.14	0.03	3.71	44055	25.6	29.7	87.1	0	0	0	1	0	0	5	420	516277	2	1629	1998075
109	9110480800	 Connecticut	 Capitol Planning Region	Census Tract 4808	13156527	7780	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	4053	7.82	0.81	88.65	0	0	2.71	80216	5	80.6	27.4	12	1153	1414676	3	219	269096	8	3651	4478187	0	0	0
110	9110520400	 Connecticut	 Capitol Planning Region	Census Tract 5204	18152799	857996	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	7746	2.9	0.27	86.68	8.06	0	2.09	165927	1.5	95.9	8.6	42	422	518325	0	0	0	3	0	0	0	0	0
111	9110515101	 Connecticut	 Capitol Planning Region	Census Tract 5151.01	2869203	0	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2606	3.76	12.01	78.59	4.68	0	0.96	113333	1.2	77	14	4	18	23142	0	0	0	3	462	566903	0	0	0
112	9110490100	 Connecticut	 Capitol Planning Region	Census Tract 4901	11165097	952432	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	5612	7.98	0.62	70.58	13.26	0.18	7.38	77429	3.2	62.2	54.3	42	1244	1526107	2	88	108953	8	1103	1353847	0	0	0
113	9140406002	 Connecticut	 Naugatuck Valley Planning Region	Census Tract 4060.02	3871218	0	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	4304	6.48	3.32	84.29	4.09	0	1.81	104302	9.5	80	17.8	3	0	0	0	0	0	4	915	1122192	0	0	0
